Ativo,Valor_1,Valor_2,Valor_3,Valor_4,Valor_5,Valor_6,Valor_7,Valor_8,Valor_9,Valor_10,Valor_11,Valor_12,Valor_13,Valor_14,Valor_15,Valor_16,Valor_17,Valor_18,Valor_19,Valor_20,Valor_21,Valor_22,Valor_23
BBDC3,"171,22 Bilhões",90,7.74,0.85,25.82,19.88,22.504779493652,13.69,16.013512663333,16.972335013389,25.321581704151,84.964073806801,10.99,8.49,"155,53 Bilhões","19,02 Bilhões","220,59 Bilhões",22.53,2.82,6.1798075930676,9.02,Financeiro,
BBDC4,"171,22 Bilhões",90,8.86,0.97,32.29,22.69,26.142764882937,15.68,17.614870353333,12.339734396256,25.321581704151,61.489679235657,10.99,8.49,"155,53 Bilhões","19,02 Bilhões","220,59 Bilhões",22.53,2.82,6.0633796096186,8.63,Financeiro,
BBAS3,"71,51 Bilhões",90,6.74,0.81,172.81,-6.6,-0.24030548099996,25.62,31.52555617025,23.050570531811,52.077442333509,103.26870543915,11.97,7.81,"146,82 Bilhões","24,67 Bilhões","278,57 Bilhões",18.01,13.16,8.5009307058516,10.37,Financeiro,
PETR3,"44,04 Bilhões",90,9.14,1.11,435.47,2.83,1.2819152253533,34.11,130.4401016,282.41014834359,50.767477286152,48.83458600455,12.16,9.7,"428,69 Bilhões","48,53 Bilhões","496,25 Bilhões",12.77,50.67,0.94,23.362137156581,16.69,"Petróleo, Gás e Biocombustíveis"
PETR4,"44,04 Bilhões",90,8.6,1.05,437.49,4.05,1.6507844421204,32.1,129.66127183333,303.92919574246,50.767477286152,58.154134847826,12.16,9.7,"428,69 Bilhões","48,53 Bilhões","496,25 Bilhões",12.77,50.67,0.94,25.733545444879,17.82,"Petróleo, Gás e Biocombustíveis"
RDOR3,"39,99 Bilhões",80,20.6,3.36,23,19.081949416855,36.74,10.2098717595,-72.210474252858,20.912819035223,-43.078881232382,16.33,7.95,"84,11 Bilhões","4,17 Bilhões","51,35 Bilhões",29.63,55.41,1.51,2.1145518695478,1.9,Saúde,
ITUB3,"38,89 Bilhões",100,8.75,1.82,190.08,18.17,41.702388005326,33.88,25.18282,-25.67054309327,40.298247480505,18.944059859814,20.77,11.84,"388,73 Bilhões","42,80 Bilhões","352,85 Bilhões",15.22,23.22,5.4154514972093,7.72,Financeiro,
ITUB4,"38,89 Bilhões",100,9.88,2.05,200.69,16.82,36.445185874275,38.26,25.42591,-33.544406691061,40.298247480505,5.3273588094746,20.77,11.84,"388,73 Bilhões","42,80 Bilhões","352,85 Bilhões",15.22,23.22,4.8173577107677,6.86,Financeiro,
ELET3,"30,85 Bilhões",50,9.97,0.8,118.05,1.5,18.974749313854,41.89,23.933868366333,-42.864959736613,70.543390902338,68.401506092953,7.98,23.14,"101,96 Bilhões","9,70 Bilhões","41,88 Bilhões",7.57,8.71,0.58,3.5359389857882,4.17,Utilidade Pública
ELET5,"30,85 Bilhões",40,17.85,1.42,123.57,0,-22.335524951224,75,48.329225026867,-35.561033297511,70.543390902338,-5.9421454635493,7.98,23.14,"101,96 Bilhões","9,70 Bilhões","41,88 Bilhões",7.57,8.71,0.58,4.3216379554846,3.24,Utilidade Pública
