Ativo,Valor_1,Valor_2,Valor_3,Valor_4,Valor_5,Valor_6,Valor_7,Valor_8,Valor_9,Valor_10,Valor_11,Valor_12,Valor_13,Valor_14,Valor_15,Valor_16,Valor_17,Valor_18,Valor_19,Valor_20,Valor_21,Valor_22,Valor_23
ITSA3,185.53,80,8.11,1.44,113.11,14.14,19.149879092464,11.38,10.124323333333,-11.034065612188,15.794935897306,38.795570275097,17.71,"123,41 Bilhões","15,39 Bilhões","8,20 Bilhões",6.88,15.94,"7,44 Bilhões",0.13,5.9738363675746,8.11,Financeiro
ITSA4,185.53,90,8.11,1.44,171.6,14.37,27.537178966447,11.38,10.531413333333,-7.4568248389016,15.794935897306,38.795570275097,17.71,"123,41 Bilhões","15,39 Bilhões","8,20 Bilhões",6.88,15.94,"7,44 Bilhões",0.13,6.2796651561726,8.11,Financeiro
LOGG3,169.3,80,5.16,0.53,15.94,14.82,5.9751510263586,22,16.5748567915,-24.659741856818,63.29715633423,187.71434697377,10.2,"1,93 Bilhão","375,44 Milhões","221,23 Milhões",9.34,21.37,"92,07 Milhões",0.55,4.9435900709731,9.14,Financeiro
PRIO3,72.61,90,3.15,1.34,658.64,15.1,-16.252631578947,39.78,0.24214333333333,-99.39129378247,91.874871428481,130.95744451604,42.58,"35,66 Bilhões","11,33 Bilhões","15,60 Bilhões",52.3,90.39,"4,16 Bilhões",0.83,0.031549619978284,"Petróleo, Gás e Biocombustíveis",
JHSF3,62.12,80,3.28,0.61,76.01,13.43,35.597913512306,5.13,6.372950681,24.229058109162,17.266817888656,236.58514402838,18.55,"3,50 Bilhões","1,06 Bilhão","1,72 Bilhão",7.97,10.62,"1,89 Bilhão",0.9,6.2642592890623,7.12,Consumo Cíclico
AMER3,53.38,30,0.15,0.24,-99.94,-7.59,-89.88679245283,5.36,206.98766666667,3761.710199005,135.7029200128,2431.7708957612,163.84,"1,07 Bilhão","7,33 Bilhões","13,74 Bilhões",6.29,"863,00 Milhões",0.41,1.2869699481865,Consumo Cíclico,,
MULT3,51.35,80,10.55,2.4,47.81,10.07,17.049183515033,26.57,14.034520775433,-47.179071225318,25.05332313287,-5.7082305876176,22.76,"13,79 Bilhões","1,31 Bilhão","2,55 Bilhões",18.68,6.29,"1,24 Bilhão",0.95,3.2556992859735,4.19,Financeiro
CEBR3,49.73,60,7.73,1.26,299.38,0.8,-9.782161739265,18.69,94.00600339,402.97487100054,28.368486036445,51.784301960647,16.35,"1,42 Bilhão","225,53 Milhões","350,37 Milhões",-24.53,-13.49,"708,61 Milhões",0,36.035367854335,10.49,Utilidade Pública
CEBR5,49.73,60,7.96,1.3,326.4,6.24,5.3101353297802,19.23,95.511417303333,396.67923714682,28.368486036445,47.522028270645,16.35,"1,42 Bilhão","225,53 Milhões","350,37 Milhões",-24.53,-13.49,"708,61 Milhões",0,36.196039656392,10.26,Utilidade Pública
CEBR6,49.73,60,8.7,1.42,482.59,4.64,7.1523976099936,21.02,103.40663173,391.94401393911,28.368486036445,34.959495891746,16.35,"1,42 Bilhão","225,53 Milhões","350,37 Milhões",-24.53,-13.49,"708,61 Milhões",0,40.292309926468,10.4,Utilidade Pública
