Ativo,Valor_1,Valor_2,Valor_3,Valor_4,Valor_5,Valor_6,Valor_7,Valor_8,Valor_9,Valor_10,Valor_11,Valor_12,Valor_13,Valor_14,Valor_15,Valor_16,Valor_17,Valor_18,Valor_19,Valor_20,Valor_21,Valor_22,Valor_23
PETR3,"496,25 Bilhões",90,9.14,1.11,435.47,2.83,1.2819152253533,34.11,130.4401016,282.41014834359,50.767477286152,48.83458600455,12.16,9.7,"428,69 Bilhões","48,53 Bilhões",12.77,50.67,"44,04 Bilhões",0.94,23.362137156581,16.69,"Petróleo, Gás e Biocombustíveis"
PETR4,"496,25 Bilhões",90,8.6,1.05,437.49,4.05,1.6507844421204,32.1,129.66127183333,303.92919574246,50.767477286152,58.154134847826,12.16,9.7,"428,69 Bilhões","48,53 Bilhões",12.77,50.67,"44,04 Bilhões",0.94,25.733545444879,17.82,"Petróleo, Gás e Biocombustíveis"
JBSS3,"441,93 Bilhões",70,8.59,2.16,187.01,1.31,63.670518630968,42.2,36.726733333333,-12.969826224329,46.437829406638,10.042249778763,25.15,2.46,"93,60 Bilhões","12,15 Bilhões",10.34,21.15,"29,70 Bilhões",2.64,6.3222897773461,12.41,Consumo não Cíclico
ITUB3,"352,85 Bilhões",100,8.75,1.82,190.08,18.17,41.702388005326,33.88,25.18282,-25.67054309327,40.298247480505,18.944059859814,20.77,11.84,"388,73 Bilhões","42,80 Bilhões",15.22,23.22,"38,89 Bilhões",5.4154514972093,7.72,Financeiro,
ITUB4,"352,85 Bilhões",100,9.88,2.05,200.69,16.82,36.445185874275,38.26,25.42591,-33.544406691061,40.298247480505,5.3273588094746,20.77,11.84,"388,73 Bilhões","42,80 Bilhões",15.22,23.22,"38,89 Bilhões",4.8173577107677,6.86,Financeiro,
BBAS3,"278,57 Bilhões",90,6.74,0.81,172.81,-6.6,-0.24030548099996,25.62,31.52555617025,23.050570531811,52.077442333509,103.26870543915,11.97,7.81,"146,82 Bilhões","24,67 Bilhões",18.01,13.16,"71,51 Bilhões",8.5009307058516,10.37,Financeiro,
BBDC3,"220,59 Bilhões",90,7.74,0.85,25.82,19.88,22.504779493652,13.69,16.013512663333,16.972335013389,25.321581704151,84.964073806801,10.99,8.49,"155,53 Bilhões","19,02 Bilhões",22.53,2.82,"171,22 Bilhões",6.1798075930676,9.02,Financeiro,
BBDC4,"220,59 Bilhões",90,8.86,0.97,32.29,22.69,26.142764882937,15.68,17.614870353333,12.339734396256,25.321581704151,61.489679235657,10.99,8.49,"155,53 Bilhões","19,02 Bilhões",22.53,2.82,"171,22 Bilhões",6.0633796096186,8.63,Financeiro,
VALE3,"211,53 Bilhões",70,7.99,1.24,66.73,4.71,-13.110295408371,55.37,127.37297874333,130.03969431701,83.317351134083,50.473814582053,15.57,14.88,"251,32 Bilhões","30,27 Bilhões",0.29,3.98,"22,96 Bilhões",0.46,9.5521005949786,8.6,Materiais Básicos
VBBR3,"177,53 Bilhões",70,3.54,1.07,22.51,8.23,-10.294542724499,19.59,24.9541958907,27.382316950995,47.808861626272,144.04727731635,30.13,3.49,"21,92 Bilhões","6,18 Bilhões",16.85,9.61,"5,47 Bilhões",1.28,6.3169637189176,9.06,"Petróleo, Gás e Biocombustíveis"
MRFG3,"156,68 Bilhões",60,7.44,7.45,207.3,18.21,139.35127922353,24.47,26.4522711,8.10082182264,15.582105120939,-36.321597380715,100.15,1.8,"20,99 Bilhões","4,14 Bilhões",18.35,-1.8,"20,24 Bilhões",22.57,11.080961477975,12.02,Consumo não Cíclico
SANB3,"141,31 Bilhões",80,7.74,1.23,66.49,13.13,14.697390684142,14.48,15.6721385447,8.2330009993094,22.291382864237,53.94601425578,15.84,9.93,"113,73 Bilhões","14,13 Bilhões",17.85,0.98,"14,12 Bilhões",7.5042672225047,5.24,Financeiro,
SANB4,"141,31 Bilhões",80,8.49,1.34,71.56,11.36,12.199758911615,15.88,17.241293875867,8.5723795709509,22.291382864237,40.37394750779,15.84,9.93,"113,73 Bilhões","14,13 Bilhões",17.85,0.98,"14,12 Bilhões",7.0571244145066,5.3,Financeiro,
SANB11,"141,31 Bilhões",90,8.12,1.29,69.49,12.19,13.411075364429,30.37,32.9116462205,8.36893717649,44.592202233126,46.829773569727,15.84,9.93,"113,73 Bilhões","14,13 Bilhões",17.85,0.98,"14,12 Bilhões",7.1183174047319,5.27,Financeiro,
UGPA3,"136,43 Bilhões",100,8.72,1.3,33.54,2.61,-25.330647730498,17.7,8.9101142,-49.660371751412,24.941802260462,40.914137064757,14.9,1.66,"19,74 Bilhões","2,43 Bilhões",10.92,21.27,"2,74 Bilhões",0.99,3.08966839997,3.96,"Petróleo, Gás e Biocombustíveis"
CRFB3,"117,28 Bilhões",30,9.21,0.85,-47.05,0.59,-20.159398358117,8.47,4.2461330466667,-49.868559071231,14.373099874418,69.694213393365,9.21,1.65,"17,86 Bilhões","2,13 Bilhões",10.5,-5.59,"5,51 Bilhões",1.19,1.8838699475347,1.12,Consumo não Cíclico
ABEV3,"91,67 Bilhões",70,15.65,2.39,44.58,2.36,25.254274653592,14.33,11.699,-18.360083740405,11.144505372604,-22.229550784341,15.27,15.74,"225,86 Bilhões","14,85 Bilhões",9.45,4.82,"20,31 Bilhões",0.03,4.6620152413035,6.42,Consumo não Cíclico
BRKM3,"78,95 Bilhões",30,-0.93,-2.04,-48.26,4.95,-46.142359382777,10.82,30.784653333333,184.51620455945,-100,-219,-11.75,"7,93 Bilhões","-10,03 Bilhões",6.16,"13,03 Bilhões",-11.6,3.9995117675013,Materiais Básicos,,,
BRKM6,"78,95 Bilhões",30,-0.59,-1.28,-63.12,-9.79,-57.079924480806,6.82,2.0201066666667,-70.379667644183,-100,-219,-11.75,"7,93 Bilhões","-10,03 Bilhões",6.16,"13,03 Bilhões",-11.6,0.36300209643606,Materiais Básicos,,,
BRKM5,"78,95 Bilhões",40,-0.93,-2.03,-51.72,4.87,-45.633518425038,10.77,30.784653333333,185.83707830393,-100,-219,-11.75,"7,93 Bilhões","-10,03 Bilhões",6.16,"13,03 Bilhões",-11.6,4.0442646681986,Materiais Básicos,,,
ASAI3,"75,15 Bilhões",60,16.19,2.48,19.92,-25.233597379867,9.89,1.7904239166667,-81.896623693967,7.3909065749744,-25.268892062948,15.34,1.1,"13,37 Bilhões","826,00 Milhões",15.83,-11.9,"4,40 Bilhões",3.03,0.51340795899953,1.05,Consumo não Cíclico,
GOAU3,"68,19 Bilhões",50,7.83,0.45,206.26,2.09,-19.599136523544,8.8,19.666666666667,123.48484848485,22.21296918469,152.42010437148,5.74,1.64,"8,61 Bilhões","3,31 Bilhões",9.25,6.79,"6,89 Bilhões",0.75,10.556231942922,3.83,Materiais Básicos
GOAU4,"68,19 Bilhões",60,7.64,0.44,165.97,3.49,-20.951785714807,8.59,19.666666666667,128.94838960031,22.21296918469,158.59102659709,5.74,1.64,"8,61 Bilhões","3,31 Bilhões",9.25,6.79,"6,89 Bilhões",0.75,10.130795088813,3.94,Materiais Básicos
GGBR3,"68,19 Bilhões",50,9.47,0.55,196.26,5.02,-7.4227480823116,15.28,32.066666666667,109.86038394416,31.631226659742,107.01064567894,5.84,4.8,"31,51 Bilhões","3,30 Bilhões",9.25,6.71,"6,87 Bilhões",0.26,8.4605013659628,4.22,Materiais Básicos
GGBR4,"68,19 Bilhões",60,9.72,0.57,141.27,4.88,-16.253504917283,15.68,32.066666666667,104.50680272109,31.631226659742,101.7297618606,5.84,4.8,"31,51 Bilhões","3,30 Bilhões",9.25,6.71,"6,87 Bilhões",0.26,7.2233007707914,4.06,Materiais Básicos
