Ativo,Valor_1,Valor_2,Valor_3,Valor_4,Valor_5,Valor_6,Valor_7,Valor_8,Valor_9,Valor_10,Valor_11,Valor_12,Valor_13,Valor_14,Valor_15,Valor_16,Valor_17,Valor_18,Valor_19,Valor_20,Valor_21,Valor_22,Valor_23
BOBR3,7721.4,40,3.57,275.96,0,0,1,-100,-100,4.73,"331,79 Milhões","72,81 Milhões","1,54 Bilhão",5.97,12.75,"116,04 Milhões",400.27,0,Consumo não Cíclico,,,,
BOBR4,7721.4,40,5.65,436.02,1.94,-5.39,-26.511627906977,1.58,-100,-100,4.73,"331,79 Milhões","72,81 Milhões","1,54 Bilhão",5.97,12.75,"116,04 Milhões",400.27,0,Consumo não Cíclico,,,
AMER3,163.84,30,0.15,0.24,-99.94,-7.59,-89.88679245283,5.36,206.98766666667,3761.710199005,135.7029200128,2431.7708957612,53.38,"1,07 Bilhão","7,33 Bilhões","13,74 Bilhões",6.29,"863,00 Milhões",0.41,1.2869699481865,Consumo Cíclico,,
STBP3,130.43,50,14.87,19.4,418.69,1.56,38.428137492278,13.64,7.6162053766667,-44.162717179863,3.8065732621349,-72.092571391973,25.23,"11,79 Bilhões","792,65 Milhões","3,14 Bilhões",27.6,"381,98 Milhões",4.32,4.4433516434648,6.32,Bens Industriais,
CGAS3,123.69,70,9.47,11.71,32.81,0.38,25.325120718166,125.54,191.5772236508,52.60253596527,56.553620573753,-54.951712144533,11.79,"16,71 Bilhões","1,76 Bilhão","14,89 Bilhões",12.36,8.83,"1,14 Bilhão",5.98,8.6117460195357,7.91,Utilidade Pública
CGAS5,123.69,70,9.66,11.94,22.93,-1.14,20.986220638836,128,210.8349051647,64.714769659922,56.553620573753,-55.817483926755,11.79,"16,71 Bilhões","1,76 Bilhão","14,89 Bilhões",12.36,8.83,"1,14 Bilhão",5.98,9.4625633513053,8.53,Utilidade Pública
MRFG3,100.15,60,7.44,7.45,207.3,18.21,139.35127922353,24.47,26.4522711,8.10082182264,15.582105120939,-36.321597380715,1.8,"20,99 Bilhões","4,14 Bilhões","156,68 Bilhões",18.35,-1.8,"20,24 Bilhões",22.57,11.080961477975,12.02,Consumo não Cíclico
BBSE3,74.13,90,8.86,6.57,140.22,-5.96,25.706686043059,38.31,40.5891997,5.949359697207,23.804957466881,-37.862288000833,0,"76,62 Bilhões","8,64 Bilhões",-,-100,17.56,"6,46 Bilhões",0,7.4951224833443,9.63,Financeiro
CURY3,63.68,80,12.09,7.7,9.36,66.735184564135,29.9,20.890763276167,-30.131226501114,14.70329044806,-50.825115558328,16.77,"8,73 Bilhões","778,41 Milhões","4,31 Bilhões",30.33,422.44,"1,54 Bilhão",1.13,7.0738175551117,4.93,Consumo Cíclico,
AHEB3,61.47,50,2.56,1.57,95.65,0,102.5202520252,45,-100,106.37991116748,136.3998025944,20.68,"385,50 Milhões","150,24 Milhões","726,35 Milhões",27.74,"91,09 Milhões",0.02,0,Consumo Cíclico,,,
