Ativo,Valor_1,Valor_2,Valor_3,Valor_4,Valor_5,Valor_6,Valor_7,Valor_8,Valor_9,Valor_10,Valor_11,Valor_12,Valor_13,Valor_14,Valor_15,Valor_16,Valor_17,Valor_18,Valor_19,Valor_20,Valor_21,Valor_22,Valor_23
PETR3,"428,69 Bilhões",90,9.14,1.11,435.47,2.83,1.2819152253533,34.11,130.4401016,282.41014834359,50.767477286152,48.83458600455,12.16,9.7,"48,53 Bilhões","496,25 Bilhões",12.77,50.67,"44,04 Bilhões",0.94,23.362137156581,16.69,"Petróleo, Gás e Biocombustíveis"
PETR4,"428,69 Bilhões",90,8.6,1.05,437.49,4.05,1.6507844421204,32.1,129.66127183333,303.92919574246,50.767477286152,58.154134847826,12.16,9.7,"48,53 Bilhões","496,25 Bilhões",12.77,50.67,"44,04 Bilhões",0.94,25.733545444879,17.82,"Petróleo, Gás e Biocombustíveis"
ITUB3,"388,73 Bilhões",100,8.75,1.82,190.08,18.17,41.702388005326,33.88,25.18282,-25.67054309327,40.298247480505,18.944059859814,20.77,11.84,"42,80 Bilhões","352,85 Bilhões",15.22,23.22,"38,89 Bilhões",5.4154514972093,7.72,Financeiro,
ITUB4,"388,73 Bilhões",100,9.88,2.05,200.69,16.82,36.445185874275,38.26,25.42591,-33.544406691061,40.298247480505,5.3273588094746,20.77,11.84,"42,80 Bilhões","352,85 Bilhões",15.22,23.22,"38,89 Bilhões",4.8173577107677,6.86,Financeiro,
VALE3,"251,32 Bilhões",70,7.99,1.24,66.73,4.71,-13.110295408371,55.37,127.37297874333,130.03969431701,83.317351134083,50.473814582053,15.57,14.88,"30,27 Bilhões","211,53 Bilhões",0.29,3.98,"22,96 Bilhões",0.46,9.5521005949786,8.6,Materiais Básicos
ABEV3,"225,86 Bilhões",70,15.65,2.39,44.58,2.36,25.254274653592,14.33,11.699,-18.360083740405,11.144505372604,-22.229550784341,15.27,15.74,"14,85 Bilhões","91,67 Bilhões",9.45,4.82,"20,31 Bilhões",0.03,4.6620152413035,6.42,Consumo não Cíclico
BPAC11,"201,18 Bilhões",100,12.55,2.57,311.8,15.2,18.545103739288,40.01,9.9464935633333,-75.139981096393,33.451042584649,-16.393295214574,20.45,27.8,"12,23 Bilhões","43,98 Bilhões",27.22,30.1,"1,59 Bilhão",2.226423639627,2.11,Financeiro,
BPAC3,"201,18 Bilhões",90,21.36,4.37,375.85,18.54,33.688071097508,22.7,3.3154921333333,-85.394307782673,11.136426715962,-50.940851471533,20.45,27.8,"12,23 Bilhões","43,98 Bilhões",27.22,30.1,"1,59 Bilhão",1.4179069090514,1.23,Financeiro,
BPAC5,"201,18 Bilhões",90,8.11,1.66,241.36,12.68,2.9406426725435,8.62,3.3154964666667,-61.537163959783,11.136426715962,29.192885335986,20.45,27.8,"12,23 Bilhões","43,98 Bilhões",27.22,30.1,"1,59 Bilhão",2.9862945943587,3.36,Financeiro,
WEGE3,"186,53 Bilhões",100,29.79,8.76,155.26,-3.29,13.077818893134,44.44,9.3695912213333,-78.916311383138,13.037321427348,-70.663093097777,29.42,15.64,"6,58 Bilhões","40,03 Bilhões",18.04,22.39,"5,66 Bilhões",0.15,1.2506570697556,1.76,Bens Industriais
